##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	NGS200B_25_192564_FC_F_BRCAv2_Pan1449_S1_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	663216
Sequences flagged as poor quality	0
Sequence length	151
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	55	-0.01715162786407376
1104	56	0.21909618481549842
1104	57	-0.07445375821443179
1104	58	0.34701473267020333
1104	59	0.15272939574686006
1104	60	0.10630096715955517
1104	61	-0.11719868416117407
1104	62	-0.014872613179072403
1104	63	-0.07125907146028254
1104	64	-0.24957938996429618
1104	65	-0.02956657896738335
1104	66	-0.3243671390967222
1104	67	-0.09419004375068596
1104	68	-0.11372743901499405
1104	69	-0.2438879431496872
1104	70	-0.5123113076250121
1104	71	-0.4900777065607329
1104	72	-0.25079171244843934
1104	73	0.04858954957853001
1104	74	-0.05956067091234729
1104	75	-0.1846630947216994
1104	76	0.1537950814298057
1104	77	0.27780389238729697
1104	78	0.45197852116734794
1104	79	0.31255589542632833
1104	80	0.13509151616582216
1104	81	0.19840612330256135
1104	82	0.29341663604871826
1104	83	-0.003756134236269304
1104	84	-0.014998752164373741
1104	85	0.08258043108639157
1104	86	-0.2758410254872672
1104	87	0.10557065822870726
1104	88	0.3800292040151234
1104	89	0.15706132937339845
1104	90	0.1547205868342445
1104	91	0.19542559585017472
1104	92	0.21325628222366788
1104	93	0.10163511430391736
1104	94	0.3865980455096647
1104	95	0.2564328583152431
1104	96	0.0761258263697755
1104	97	0.12980159594770413
1104	98	0.2223586905810535
1104	99	0.10351302440018628
1104	100	0.1595691008840774
1104	101	0.09509511979227625
1104	102	0.12701023734233985
1104	103	0.03683462127498416
1104	104	-0.029771469540939677
1104	105	0.17950618362270632
1104	106	0.31739500485709726
1104	107	0.3901041308364128
1104	108	0.31732084248840664
1104	109	0.22820826188736731
1104	110	0.13642045093052957
1104	111	0.20522458197517324
1104	112	0.16701228074857255
1104	113	0.015223767018333945
1104	114	0.26104965030665284
1104	115	0.168902989677008
1104	116	0.23384531864290636
1104	117	0.5791828924621996
